nGram,size,mormonFreq,nonMormonFreq
their sorrow,2,1,1
vow and,2,2,5
had on,2,1,2
the ordinances thereof,3,2,2
disobedient,1,3,13
children of israel in the,5,1,8
prepared for him that,4,1,1
power and,2,37,48
wherefore as,2,3,3
corn for,2,1,2
clean shall,2,1,4
through the midst of,4,4,12
this is the promise,4,3,1
that all these things,4,1,1
who would,2,4,4
children and the heart,4,1,1
had no,2,1,46
i the lord will make,5,1,1
lord shall be as the,5,1,1
who is this that,4,1,7
wrath upon the,3,2,3
words which,2,13,41
of the money,3,2,9
my words i,3,1,1
shalt not take,3,1,8
him and the,3,3,47
and the cries of,4,1,1
the gods,2,2,58
wherefore he,2,9,16
hewn,1,3,17
earthly things,2,2,2
god then,2,1,4
with promise,2,2,1
my bones to,3,1,1
god they,2,1,17
you holy and,3,1,1
to make them,3,1,5
sword in their,3,1,2
with christ in god,4,1,1
their hearts to,3,5,2
forth that,2,4,9
and come up to,4,1,1
is mine and i am,5,1,1
be yours,2,1,1
to the nations,3,1,4
as the children of israel,5,1,1
like manner,2,1,13
the sun shall be darkened,5,3,2
great and very,3,1,2
shall receive the gift of,5,2,1
chosen of,2,1,3
that the salvation,3,1,3
gates of,2,7,40
manifestation,1,6,3
a preparing wherein few that,5,1,1
before the world was,4,8,1
her by the,3,1,8
shall roll,2,1,1
sword one,2,1,1
is bound,2,5,6
art the man,3,1,1
they hearkened not,3,1,8
on high and,3,4,6
for behold the day that,5,1,1
sit thou here,3,1,1
in iniquity and,3,1,1
bring with,2,1,4
of my hand,3,2,11
their souls,2,5,4
arise up and,3,1,1
pray unto me,3,1,1
with the brethren,3,1,3
wherefore do,2,1,6
reward of the,3,2,2
and the nations,3,3,6
is a witness,3,1,5
be the greatest,3,1,1
fire prepared,2,1,1
the month of,3,2,2
by an hundred,3,1,1
shall not reign,3,1,1
to deceive but he,4,1,1
therefore prophesy and,3,1,2
and shall be for,4,1,1
taken unto,2,2,1
the hands which,3,1,1
will discover,2,1,6
had to,2,1,2
iniquity,1,14,278
inheritance of,2,1,43
will receive it this,4,1,1
might work,2,1,1
the resurrection and the,4,1,1
mine anointed,2,2,4
avenge,1,6,17
thus they did,3,1,1
star in glory,3,1,1
then will the lord,4,1,2
should make,2,2,14
the faithful,2,12,10
perform the,2,3,13
they shall see the,4,1,3
please,1,4,39
the mediator of the new,5,2,2
the saints and of the,5,1,1
wherefore it,2,11,7
soul and spirit and,4,1,1
had we,2,1,1
wickedness and,2,2,11
the lord from heaven,4,1,2
wherefore in,2,1,1
ghost and,2,7,23
what ye will,3,1,1
wherefore if,2,6,7
and i say unto you,5,1,5
as with a flood,4,1,1
between him and,3,1,2
blessing unto,2,1,1
world therefore,2,2,2
that shall burn them,4,1,1
deny me,2,1,8
be tempted,2,1,4
their hearts,2,41,35
in their days in,4,1,1
you and given to,4,1,1
i shall call and,4,1,1
shall break forth,3,1,2
live and move and,4,1,1
inheritance to,2,1,11
house shall,2,10,29
things out of,3,1,3
would that ye,3,4,2
he that saith,3,1,5
seal upon,2,3,3
between man,2,1,1
under a,2,1,15
sustained,1,2,3
off the face of the,5,1,6
trees of the,3,2,20
in the moon and,4,1,1
their hands that,3,1,2
and solomon,2,2,54
that they may not,4,3,7
all power and,3,1,1
to zion,2,15,7
for the transgressions,3,1,1
i have,2,335,1062
crowns,1,3,9
one like,2,2,4
chosen to,2,5,7
for that day,3,1,2
a desire to,3,2,3
of the congregation,3,1,174
hundred years old,3,2,8
flower thereof,2,1,2
tarry and,2,2,1
can not hold the,4,1,1
angel of the lord,4,1,68
and prepare a,3,1,1
man because,2,2,4
are not lawful for,4,1,1
according to that which is,5,3,2
he came into the,4,1,1
space of half an hour,5,1,1
to destroy the,3,4,16
preach in their,3,1,1
the foundation,2,26,41
teach the children,3,1,2
curse god and,3,1,1
their hearts he,3,1,1
if they will,3,12,7
and whatsoever thou shalt,4,2,3
the only begotten of,4,2,1
say nothing,2,2,4
remain after,2,1,1
the spirit to,3,1,2
and to sanctify,3,1,1
a sacrifice,2,1,46
condemnation of,2,3,1
of adultery,2,3,1
the covenants of,3,1,1
into their,2,14,40
the wicked to be,4,1,1
everlasting fire,2,1,2
rejoicing in the,3,1,1
church i,2,1,2
the good,2,14,66
from thenceforth,2,2,2
pattern of,2,1,8
of the times and the,5,1,1
difference,1,2,12
when the voice of the,5,1,1
any one of the,4,1,1
have believed,2,2,11
star in,2,1,2
and in the second,4,1,4
and wise men,3,2,1
exceedingly glad for,3,1,1
by much,2,1,2
for i will give you,5,1,1
all the nations that forget,5,1,1
third part of,3,1,23
for it is given,4,1,1
pilgrims,1,1,2
and in thy seed shall,5,1,4
voice of and,3,2,2
god even the father and,5,1,1
inheritance in,2,9,13
dreadful day of,3,5,1
as the apostles of,4,1,1
not overthrow,2,1,2
and every man,3,4,29
of him in the,4,1,2
they might be made,4,1,1
all that shall,3,1,1
not prosper,2,1,11
unto the voice of,4,5,17
these things and they,4,1,1
that which upon,3,1,1
thy wrath upon,3,1,1
cheerful,1,2,4
inasmuch,1,114,9
see the salvation of,4,2,4
hand are the,3,1,1
say concerning,2,1,1
quickly and my reward,4,2,1
things present or things,4,1,1
said within himself though i,5,1,1
said within himself,3,1,2
thee from off the,4,1,3
against all the,3,1,12
the saints which are in,5,1,1
them i the lord,4,1,1
preserved,1,10,16
whom he will,3,3,3
than their,2,1,3
that he be not,4,1,1
more lest,2,1,2
i have anointed,3,1,3
the lying,2,1,2
written that they,3,1,1
with loud voices,3,1,1
and the day that,4,5,1
the first man is of,5,1,1
and concerning,2,1,24
the spirit ye,3,1,1
and great glory,3,5,2
the earth and upon,4,1,2
book even,2,1,1
and when they,3,2,173
away as with,3,1,2
about and the,3,1,10
may be one even,4,1,1
true and faithful,3,5,2
and unto all the,4,2,10
with him at the,4,1,3
they read,2,1,2
pass that he that,4,4,1
ten tribes,2,1,2
any of the sons of,5,1,1
punishment is,2,2,1
father and mother and,4,1,6
be bound in,3,5,5
him that he should be,5,1,1
thy children,2,2,38
day of judgment than,4,1,4
the hands of the people,5,1,2
up in the midst of,5,3,2
in doing,2,2,4
the vanities,2,1,1
the use of,3,7,3
choose out,2,1,4
eyes are upon all,4,1,1
is natural,2,1,1
because they know not,4,1,2
churches to,2,2,3
six days,2,1,19
proclaim liberty,2,2,3
be condemned with the,4,1,1
come in the last days,5,1,1
both in the land,4,1,1
days of my life and,5,1,1
will remember,2,1,11
stay in,2,2,2
the heart and,3,1,7
i will be with,4,5,12
the sons of levi and,5,2,4
it shall be kept,4,1,1
you ye shall,3,5,18
as ye have not,4,1,1
from the midst of,4,1,13
the day of his,4,2,19
the king who,3,1,2
inheritance as,2,1,8
all things that,3,15,28
or unto the,3,1,2
his children throughout,3,1,1
pleaded,1,2,3
faith not,2,2,3
taking the shield of,4,1,1
righteous therefore,2,1,1
do it with,3,2,3
shall befall,2,1,4
blameless in,2,1,1
praise and,2,2,12
what doth,2,1,6
and the children of judah,5,1,4
magistrates to,2,1,1
wise and prudent,3,1,2
law saith,2,1,1
from the righteous,3,1,1
the lame to walk,4,1,1
if he had,3,1,3
gone into the,3,1,4
shall be sweet,3,1,3
and when this,3,1,4
as my people,3,2,1
from the first,3,2,8
tempt the lord,3,2,5
whosoever among you,3,1,1
their prophets,2,1,2
vessels of wrath,3,1,1
i shall die,3,1,1
behold there is a place,5,1,1
daughter for,2,1,3
this rock i,3,2,1
to the lord in,4,1,5
let thine heart,3,1,4
the spirit on,3,1,1
the image of,3,1,15
wherefore it is,3,5,4
her i,2,1,7
pruned,1,1,1
servants abraham isaac,3,1,1
know my name,3,1,1
they that have,3,4,13
may prove,2,2,3
the spirit of,3,42,131
season with,2,1,1
and nothing,2,1,6
concerning the parable,3,1,1
that city and,3,1,4
two or three are,4,1,1
i have sworn in,4,1,1
the father and the,4,8,8
performed this,2,1,1
inheritance by,2,1,5
and when thou,3,1,28
unto your lord,3,1,1
the kingdoms,2,4,38
remember mercy,2,1,1
of the fire hating,4,1,1
nations shall be,3,2,6
him to the,3,3,21
the tongue of the,4,2,10
of all your,3,1,9
and tongue and people,4,1,2
have been cut,3,1,1
shall bring forth,3,3,12
charity it,2,1,1
be done away from among,5,1,1
may be made,3,1,5
me in the,3,7,64
the punishment,2,2,20
but being,2,1,5
condemned the,2,1,3
trodden under foot of,4,1,1
not with the,3,1,2
not steal neither,3,1,1
bring evil,2,1,16
for raiment or,3,1,1
whomsoever i will,3,1,1
lo i am with you,5,5,1
be there that,3,1,1
and female,2,1,7
their hearts in,3,2,1
that there shall not be,5,1,5
wherefore if ye,3,2,1
the face of,3,18,108
not god nor regard man,5,1,1
hereafter,1,29,14
witnesses shall every,3,1,1
and murder,2,1,2
brother who,2,1,3
his father,2,14,284
heavens that,2,1,3
the spirit by,3,2,4
upon this rock i will,5,2,1
will i give power,4,1,1
regard man yet,3,1,1
and the will,3,1,1
shall receive an,3,3,2
day of his coming,4,2,1
take thy journey,3,1,1
that he shall have,4,1,1
see him for,3,1,1
half an hour,3,1,1
the priesthood and,3,4,2
weeping and wailing and,4,2,3
i the lord their,4,2,1
world nor,2,5,1
mothers,1,1,8
an inheritance even the,4,1,1
wickedness but,2,1,3
snare upon,2,1,2
unto them for there,4,1,1
no such thing,3,1,2
to faint,2,1,1
even the father and,4,1,1
advise,1,1,3
you i say unto,4,1,1
ye ought to,3,2,8
the people of,3,10,134
and be baptized and,4,2,1
whether there,2,1,7
hands of their,3,1,3
and prepare themselves,3,1,1
upon all,2,22,82
let them be blotted out,5,1,1
assemble,1,13,20
persecuted and,2,1,1
rose up and,3,1,31
shall be trodden down by,5,1,1
off from the house,4,1,2
and abominations,2,2,1
the time of my,4,4,1
saints and for,3,1,1
to shed innocent blood,4,2,2
in counsel,2,1,2
armies of israel,3,1,3
i grant,2,8,1
son of man for,4,1,2
near even at the,4,1,1
and also that,3,10,3
innocent blood which,3,1,2
holy ghost that,3,2,2
the carnal,2,2,1
of elijah,2,3,7
go forth into,3,3,9
he that not shall,4,1,1
are the works of,4,1,1
behold satan hath,3,1,1
delight in thy,3,1,2
trusted,1,2,29
zion and unto,3,2,1
every tree,2,1,12
find an,2,1,2
any more for,3,1,6
to bring upon,3,1,1
upbraid,1,1,2
be given unto thee,4,1,1
that god may,3,1,3
man was,2,3,33
may build,2,1,2
barns,1,2,4
will give him,3,2,6
the cries,2,2,1
would that,2,5,9
a of the thoughts and,5,1,1
caleb,1,2,36
unto zion and,3,2,2
as the mouth of,4,1,1
shall die,2,7,69
thy righteousness and,3,2,6
for the land,3,3,16
ye no thought,3,1,1
thy years,2,1,6
to the law of moses,5,2,2
and the wife,3,1,6
coming of the lord nigh,5,1,1
unto this,2,64,138
in their own craftiness,4,1,2
sanctified by the wife and,5,1,1
hath nothing,2,1,4
shall be turned back,4,1,1
me shall be,3,4,4
and on this,3,2,2
had looked,2,1,6
the lord rebuke,3,1,2
throughout the world,3,2,1
daughters unto,2,1,10
not be left,3,2,5
the heavenly,2,5,9
ought always to,3,1,1
souls were saved by,4,1,1
what it is that,4,1,1
be deceived,2,3,1
servants abraham isaac and jacob,5,1,1
of abraham and,3,5,12
us and said,3,1,2
precious things,2,2,12
the head of,3,6,87
the people in,3,2,18
of the daughters of zion,5,1,2
thy good,2,1,7
shall not always strive,4,1,1
to support,2,1,1
keep yourselves from,3,1,2
man should,2,7,27
for the journeying of,4,1,1
them round about,3,1,6
faith with,2,3,2
subdue,1,2,8
he was in,3,1,17
god nor regard man yet,5,1,1
have smitten you,3,2,1
this shall,2,29,54
for the last,3,10,1
thee on high,3,1,1
your and,2,5,7
sword with,2,1,3
i may send,3,1,3
your calling,2,2,3
erred,1,1,12
brethren for,2,1,6
turn the heart,3,1,1
of mine,2,36,70
the remission of sins and,5,3,1
what would,2,2,4
a feast,2,2,34
them and it shall be,5,1,2
man which,2,2,36
people of the lord and,5,1,2
were written,2,3,12
left their,2,1,7
that can not,3,8,13
shall the jews,3,1,1
which shall be,3,30,27
it and all that,4,1,1
families every man,3,1,1
in falsehood,2,1,1
altered,1,5,2
on the plates of,4,1,1
of the only,3,3,2
received not the,3,4,3
man who,2,14,18
send them to,3,2,1
the lord for the,4,4,8
their houses,2,1,22
your hands be,3,1,4
whatsoever ye shall,3,2,6
him to prophesy,3,1,1
commandment to,2,7,11
know the mysteries of,4,2,2
he turn to,3,1,1
sought to take,3,2,1
make sackcloth their covering,4,1,1
himself before the,3,1,6
power of the,3,17,19
spiritual blessings,2,1,1
wages be,2,1,1
saith the lord your,4,29,1
and preached the,3,1,3
is not worthy,3,1,4
baptize with water,3,1,2
established by,2,1,4
o lord how long shall,5,1,1
by the same,3,2,9
upon any,2,1,2
inhabitants of,2,41,173
of his presence saved,4,1,1
curtain,1,1,26
remember o,2,1,3
days of my,3,1,7
shield,1,2,45
earth i will,3,1,2
he was yet in,4,1,3
break off,2,1,2
first unto,2,5,1
mules,1,1,12
man seeking,2,1,1
all your and,3,1,1
the work which,3,6,4
and eternal life,3,8,1
upon and,2,1,26
men ought always,3,1,1
done good in,3,1,1
the people by,3,1,1
before me in,3,2,10
to do good,3,2,9
is in the bosom,4,1,1
hath sinned,2,1,15
a long,2,4,18
to fight against god,4,1,1
there shall be weeping,4,1,5
sent before,2,1,2
world against,2,1,1
for this shall,3,2,2
and of this,3,1,1
of the month which,4,2,3
shall receive of,3,2,5
that are under,3,1,3
and hidden,2,2,1
the people as,3,2,1
and i am the,4,2,2
up zion,2,1,2
unto this land,3,4,5
to repent of,3,2,1
make known my,3,1,1
for ye are not,4,3,4
assuredly,1,4,9
feed my sheep,3,1,2
arrayed like one,3,1,2
david and solomon,3,1,1
a decree which,3,1,1
that unto him,3,1,2
of people and,3,1,3
a bishop,2,9,3
the other,2,13,239
of the sixth,3,1,2
in asking,2,1,1
those parts,2,4,1
down on the,3,1,8
and shall come,3,4,5
for it shall,3,9,12
not for me,3,1,2
of heaven can not be,5,1,1
the church of,3,44,14
the lord call upon,4,1,3
religious,1,9,2
thought for the morrow for,5,1,1
many mighty,2,1,2
and let my name,4,1,1
christ to whom be,4,1,2
you the lord,3,2,3
by the court of,4,1,1
advice,1,2,9
will of the lord,4,13,2
not only this,3,1,2
have spoken it and,4,2,3
might be filled with,4,1,2
wages of,2,1,4
the dead and the,4,3,3
not again until,3,1,2
and shall lift,3,1,1
given unto them and,4,1,2
cup in,2,1,3
the years,2,3,29
partaker of,2,1,6
the blasphemy against,3,1,1
that ye may know,4,2,17
and now thou,3,1,2
unto you but,3,1,13
heads and,2,3,22
worldly,1,1,2
the face of his,4,1,4
to restore,2,1,4
rejoice for,2,4,4
and wailing and,3,2,3
the face of him,4,1,1
in this place in the,5,1,1
serpents and,2,2,6
may abide the,3,1,2
god and his people,4,1,1
prophet before the,3,2,1
melting,1,1,1
upheld,1,3,1
by the mouth of thy,5,1,1
will come unto you,4,1,1
in light,2,1,2
temporal,1,24,1
exhortation and,2,4,1
his sins and,3,3,1
hearken unto the,3,5,15
own land,2,2,32
have no king,3,1,3
certainty,1,2,7
that they might come,4,1,1
even as i am,4,4,2
by the two,3,1,3
who shall go up,4,2,2
she shall not,3,1,6
new heaven and a,4,1,1
had been,2,41,75
cast away,2,2,16
not relied,2,1,1
hands of all,3,1,4
stick of ephraim and,4,1,1
ought always to pray,4,1,1
days that they,3,1,2
to david,2,3,61
even with the,3,1,6
it at all,3,1,1
in the midst of the,5,6,93
his own mind,3,1,1
beseech,1,1,67
is now nigh at hand,5,1,1
the lees well,3,1,1
army of israel,3,1,2
and restore,2,5,5
be for them,3,1,2
upon her and,3,4,7
is light,2,3,7
unto them for their,4,2,1
officers and,2,2,14
before me as,3,2,6
that believed,2,1,9
for nothing but to,4,1,1
neither staves,2,1,1
of salvation and the sword,5,1,1
heart shall,2,3,35
a loud,2,8,53
to seal up,3,2,1
and david,2,3,243
god neither regarded man,4,1,1
the fire is not quenched,5,1,3
in your own,3,5,6
i have told you,4,7,7
deceive but,2,1,2
the air shall,3,1,1
of the spirit which,4,1,3
to every man,3,4,23
first,1,119,444
have anointed,2,1,5
and now this,3,2,1
find me,2,2,5
straight and,2,1,5
again verily verily i say,5,4,1
is more,2,6,14
receive the holy,3,8,2
flies upon,2,1,1
evil they,2,2,1
and the wise,3,1,2
until it be,3,1,3
and faith,2,7,5
revealed that,2,1,1
cup of,2,3,19
safety,1,12,19
that there is none other,5,1,1
i have appointed,3,57,4
his eyes were,3,1,7
name shall they,3,1,3
the tradition of,3,1,5
shall lose his,3,1,2
there have,2,2,2
likeness,1,11,34
bank of,2,3,9
unto them,2,129,968
the church in,3,24,7
unto thee,2,35,501
present or things to,4,1,1
thy god with all,4,1,7
be sober be,3,1,1
was wounded in,3,2,1
chosen in,2,5,1
can do no,3,1,1
the lord our god,4,1,92
commandment of god,3,3,6
days that thou,3,1,4
unto you saith the,4,3,3
here in the,3,1,1
the church he,3,1,1
it more,2,1,2
own place and,3,1,1
abroad in the,3,4,5
shall be made a,4,1,2
to the truth of the,5,1,1
given to him,3,1,4
say unto all the,4,1,2
do this saith the,4,1,1
of liberty and,3,1,1
here is the,3,2,3
done according to,3,6,5
desolation of,2,3,1
the church by,3,7,1
flow down at thy presence,5,3,1
find it,2,5,17
lord was angry with,4,2,4
that into,2,2,9
their offering,2,1,6
the people to,3,7,20
fear of,2,2,75
to prepare a,3,1,2
not for ye,3,1,1
evil that,2,2,32
into a covenant,3,1,3
thine enemies and,3,1,9
people that shall,3,2,4
verily i say unto you,5,232,68
know me and,3,1,1
live and to,3,1,1
thought beforehand,2,1,1
assembly,1,12,49
there shall be no end,5,1,2
to the jews,3,4,11
of abode,2,1,1
thee blessed,2,1,1
and will destroy,3,1,3
earth is full,3,1,3
the people so,3,1,2
him and say,3,1,4
not mine,2,1,13
unto that,2,7,18
elias who,2,2,1
and obey the,3,3,2
i love,2,3,23
devil and his,3,6,1
prepared for the devil,4,1,1
hear the word of,4,4,31
error,1,2,13
steal,1,3,22
more save jesus only,4,1,1
fear me,2,2,4
man according to his,4,5,17
any nation,2,3,3
stead,1,11,94
be brought low,3,1,4
his sons,2,3,202
may prove them,3,1,1
said that i would,4,1,1
say unto all,3,7,3
for him in,3,1,7
his soul,2,6,51
hiding place and,3,2,1
poor and the needy,4,7,1
and meekness,2,1,2
a whirlwind,2,2,12
are the servants,3,1,3
them shall be,3,3,15
beforehand what ye,3,1,1
and false,2,2,2
o lord,2,27,353
of the most high god,5,3,6
of the people to,4,4,6
of the fierceness of,4,2,2
to the pattern,3,9,1
be shaken,2,2,6
of the sons of,4,1,159
in the water,3,3,4
in proclaiming,2,2,2
are unlearned,2,1,2
say unto you behold,4,1,1
of israel and not,4,1,1
she hath not,3,1,2
people concerning,2,1,2
and the heaven and,4,1,1
unto one of,3,1,10
thee into,2,1,36
against the holy ghost,4,1,4
punished according,2,2,1
it must be,3,2,3
new covenant,2,3,4
to prove you,3,1,1
in that i have,4,1,2
and the life of,4,4,2
blessed be,2,3,63
commanded her,2,2,1
shall receive a,3,4,4
left and,2,1,12
commandment i give unto,4,19,1
all liars,2,1,1
lot of,2,2,9
earthy and as is,4,1,1
verily i say unto,4,248,77
death that i may,4,1,1
the iniquity of their,4,1,2
hath done and,3,1,3
commandments which i,3,11,16
unto him and his seed,5,1,1
ends of,2,16,49
and confirmed,2,3,2
this mount and,3,1,1
flying through the midst,4,2,1
with you that,3,3,5
retire,1,1,2
branch of the,3,4,4
and all this,3,11,5
the people that shall,4,1,1
their stead,2,2,7
became very,2,1,2
shall hold it,3,2,1
the belly,2,2,16
your solemn assemblies,3,2,1
visit you and,3,1,4
and plague,2,1,1
when the wicked rule the,5,1,1
strength and,2,5,41
is commonly,2,1,1
pledge,1,1,22
majesty and glory,3,1,1
and thus they,3,2,1
the mother of,3,1,27
pertain,1,3,6
redemption unto,2,1,1
he walked with,3,2,1
against thy servant,3,1,1
the deacons,2,5,2
word the,2,1,2
for him of,3,1,2
and ever for,3,3,1
to an innumerable company,4,1,1
can not obtain,3,3,1
westward unto,2,1,2
church and of,3,2,1
and have power,3,1,2
serve him with,3,1,4
break not,2,1,1
if it had,3,1,5
ye enter,2,4,9
has been,2,24,1
bound together,2,1,1
to meet,2,13,79
weapon that is formed,4,1,1
works with,2,2,4
are the feet,3,1,2
saith the lord it is,5,8,1
as a faithful,3,1,1
word sake,2,1,2
again i say,3,38,3
for he shall,3,7,30
return again,2,1,5
earth and the sea,4,1,5
my very,2,1,3
and all they,3,5,16
and earth,2,2,35
done for,2,3,18
of the saints of the,5,1,1
to the right,3,1,18
the case of,3,1,2
how great things,3,1,6
over all and in,4,1,1
be remembered with,3,1,1
learned,1,5,22
the lord upon,3,2,8
your hands i,3,1,1
and will not repent,4,2,3
heaven with power and great,5,1,1
may seek,2,1,3
blessing,1,42,67
the praise of the,4,1,3
jerusalem and,2,5,181
to the lord from,4,1,1
entered into,2,5,86
bread nor,2,1,13
men the,2,1,12
gospel is,2,2,3
hath appointed,2,1,7
the remainder of,3,2,3
gospel in,2,8,2
sons of aaron for the,5,1,1
ye may possess,3,1,1
in this manner,3,1,1
i said unto them,4,2,7
and let not any,4,1,1
life not,2,1,1
tempt the lord thy god,5,2,2
a millstone,2,1,6
them into,2,3,106
be read,2,1,2
handle,1,1,11
satisfaction,1,2,2
that ye know,3,3,3
the morrow for,3,1,1
of the living god the,5,2,2
prophecy of,2,2,7
for him to,3,4,7
i the lord have brought,5,1,1
acquaintance,1,1,11
are made,2,7,14
and pass away,3,1,2
thou that thou,3,4,7
blessed is,2,4,37
will come into,3,1,1
blessed it,2,1,2
through your,2,4,5
transgressors and,2,1,3
the face of god,4,2,1
courage,1,1,20
the chamber of,3,1,9
for a bishop,3,1,1
power and authority,3,6,2
and all that,3,5,124
blessed in,2,1,3
that the power of,4,1,1
coming of the son,4,10,3
maintained,1,2,1
that is among them,4,1,2
the house of david and,5,1,6
the least of these ye,5,1,1
he that me shall,4,1,2
hath filled the,3,1,2
shall all,2,4,34
if any man or woman,5,1,1
before appointed,2,1,1
off from the house of,5,1,2
church and he,3,2,1
things which have been,4,4,1
forth in the,3,9,7
thee yea i,3,1,3
days and on the,4,1,1
make you clean,3,1,1
fifteen,1,3,24
the year,2,5,51
blessed of,2,2,8
touch,1,1,48
an highway,2,1,2
where there is no,4,1,7
and call on the,4,1,2
asunder and,2,1,8
yea they,2,1,32
fall the,2,2,4
james and john,3,4,14
commanded him,2,6,33
in the chamber,3,1,4
will multiply,2,7,10
in heaven for,3,4,4
not up into the,4,1,2
at rest,2,1,7
they twain shall be one,5,1,2
return to that,3,1,1
the earth and all the,5,2,4
eat their,2,1,10
given in the,3,5,2
the book which,3,2,3
into the field and,4,2,5
three witnesses shall every word,5,1,1
of the seven angels,4,1,3
world even,2,3,5
derision,1,1,15
the things of god,4,1,1
been with you,3,1,1
over their,2,2,7
and the blind,3,1,4
and the gentiles,3,1,3
may sell,2,1,1
are many,2,17,18
unto them come,3,1,8
come down for,3,1,2
governor of,2,1,15
feed my,2,1,9
kingdom of heaven and,4,2,1
power to lay,3,1,1
unto you ask,3,1,1
from the south,3,1,11
that time in,3,1,1
was dedicated,2,1,1
thee that thou art peter,5,1,1
sought to destroy,3,3,2
he is an,3,1,4
all the other,3,1,1
have been and,3,1,1
unto you are,3,1,1
handed,1,6,1
to declare the,3,1,1
and the son,3,7,170
thy power,2,3,11
watch therefore for ye,4,1,2
keep his,2,2,31
the lord your redeemer,4,2,1
to understand,2,22,12
to come unto,3,3,17
voice of the son,4,1,2
consolation,1,2,15
lord have,2,29,34
to the knowledge,3,6,1
saying there,2,1,15
said unto them why,4,1,21
or if they be,4,1,1
the lives of,3,1,4
lord unto them,3,2,1
husband else,2,1,1
world with,2,3,3
saved in the,3,5,2
to the order of,4,2,2
should be built,3,3,1
could not,2,12,113
and that which he hath,5,1,1
neither in the world to,5,1,1
the destruction of,3,3,10
i am in the father,5,3,2
flesh and blood,3,1,5
unto,1,1835,8997
what ye shall eat or,5,2,2
hearken my,2,2,1
had begun to,3,1,1
lord hath,2,10,291
and anointed him,3,1,5
shall not prevail against,4,7,3
at the gate,3,2,12
his power to,3,1,1
camp of israel,3,2,6
one consent,2,1,4
name known to thine,4,1,1
they toil not neither do,5,1,1
of aaron for,3,2,2
i will do with,4,1,1
may send,2,2,5
fire and brimstone which,4,1,1
milk and,2,1,29
on the bank,3,2,1
presence of,2,18,68
and i will pour out,5,1,1
as the voice of,4,3,7
that they may lay,4,1,1
not prevail against,3,7,5
gospel of,2,18,32
place you,2,1,1
received of the,3,1,7
questions of,2,1,1
you from the beginning,4,1,2
days the,2,1,17
in this thing,3,6,5
observe all,2,4,2
appointed him and,3,2,1
eat or what,3,2,3
i say also unto,4,1,1
of it unto,3,1,4
helmet of salvation and,4,1,1
over these,2,1,2
and great stand before god,5,1,1
hearken to,2,10,25
refined,1,1,5
unto them to be,4,1,2
for it must,3,3,1
be rent,2,2,4
i gather,2,1,7
i will go before,4,2,4
is the life,3,1,4
frost,1,1,6
of all living,3,1,2
of many waters,3,1,9
by the word,3,2,21
him be of,3,1,1
observe and,2,1,6
because they were,3,2,12
floor of,2,1,4
he it is,3,1,10
your souls in,3,1,2
into the treasury and,4,1,1
son into the world,4,1,2
posterity shall,2,1,1
when the day,3,2,4
the priesthood,2,53,9
they shall sing,3,1,3
kings and rulers,3,1,1
is the of the,4,1,2
a green,2,1,5
he is in,3,4,12
iniquities shall be,3,1,1
the lord hath sworn,4,1,7
if thou him,3,1,1
with you even unto the,5,2,1
refiner,1,2,2
haste and,2,2,16
saying these,2,2,8
and the eyes,3,1,6
and the sea and,4,1,6
exhort the,2,1,1
the heavenly vision,3,2,1
taken away even that,4,1,2
with thee for,3,1,9
go before you and,4,1,1
for a place,3,2,1
these are they,3,27,20
gospel to,2,12,6
before the eyes of,4,1,2
his throne,2,4,41
yourselves before,2,4,2
the voice of many waters,5,1,2
now are they holy,4,1,1
wayside,1,1,2
and strengthen,2,3,6
daily,1,1,63
which i commanded them,4,1,6
themselves before,2,5,4
spirit shall not,3,1,1
his father for,3,1,5
make up my jewels,4,2,1
without a,2,5,18
that thou art peter and,5,1,1
hearken ye,2,8,4
both men,2,1,4
she came unto him,4,1,2
she shall be delivered,4,5,1
had come to,3,1,1
expelled from,2,2,1
you that ye shall,4,9,5
a mystery,2,1,2
and the sea,3,1,21
blood and,2,8,61
that ye receive not,4,1,2
blood and the,3,4,4
pass away but,3,2,3
to take with,3,1,1
and understand,2,3,10
kingdom,1,153,342
upon the ground and shall,5,1,1
company with,2,2,5
coming of the son of,5,10,3
the consecration,2,1,3
and declare the,3,2,1
shall call upon,3,1,2
to strengthen,2,4,3
soul in the,3,1,2
he is my,3,1,11
a great,2,22,248
sons of aaron,3,2,29
record and,2,6,3
by the prophets,3,5,5
yea thus,2,1,1
not afraid,2,1,35
preaching and,2,8,1
set thee to be,4,1,1
that time to,3,1,2
receive money,2,4,1
grief,1,1,26
the time when i,4,1,1
in travail and,3,1,2
i am in the,4,3,4
days and a,3,1,1
of the earth be blessed,5,1,5
me together,2,1,1
him through,2,3,7
silver to,2,1,8
which with fire,3,1,1
husband is sanctified by,4,1,1
a voice of the,4,1,4
but because of,3,1,2
the likeness of,3,6,24
of the flood,3,1,7
be instructed,2,3,1
in far countries and,4,1,1
ascribed,1,1,2
soul to,2,1,10
and vowed,2,1,1
god of jacob,3,1,25
in the field and,4,1,26
thy garments be,3,1,1
for the city,3,2,3
in my fury and,4,1,6
into judgment,2,1,7
according as it is written,5,1,3
thou more,2,2,2
the lord thy god in,5,3,17
again for the,3,1,1
the supper of,3,2,1
himself for his,3,1,4
will avenge her lest,4,1,1
places and,2,5,31
in heaven and which are,5,1,1
wise and the,3,3,2
and my reward is with,5,2,1
ye have sinned against,4,1,3
and with his,3,1,18
