nGram,size,mormonFreq,nonMormonFreq
worthy of,2,11,30
in their inheritance,3,2,2
who had made,3,1,2
place and a,3,1,1
he shall hold,3,2,1
him come and,3,1,4
and terrible as,3,2,1
wise men,2,7,44
and become,2,6,9
for their evil,3,1,1
year of my redeemed is,5,1,1
his people israel according to,5,1,1
me shall come,3,1,1
of the righteous is a,5,1,1
the man to whom,4,1,3
posterity,1,7,9
matters,1,6,23
i may make,3,1,2
perceive,1,1,25
unto you ye shall not,5,1,6
shall not retain,3,1,1
the law of the lord,5,1,21
be glad for,3,1,2
the wrath of her,4,3,2
voice of your,3,1,2
appoint a,2,3,3
sure,1,4,41
is stretched,2,1,7
gather his,2,1,1
all they,2,9,46
fold,1,3,9
all these and,3,1,1
extend,1,1,2
became a,2,1,23
time of the lord,4,5,1
lower and,2,1,1
of silver and,3,1,57
four shall be,3,1,1
i will make thee,4,1,19
upon them in the,4,2,2
trees till we have sealed,5,1,1
hear the words of,4,1,10
i have called and,4,1,1
the lord by,3,2,28
damned,1,9,3
of the poor and the,5,2,1
all them,2,1,50
i have left,3,2,2
think not,2,5,6
jesus christ to,3,7,12
for the house,3,1,34
will see,2,2,5
he may send,3,1,1
life that he,3,1,2
necessities and,2,1,1
am,1,172,874
as himself,2,2,2
an,1,190,1699
because they know,3,1,2
food,1,10,55
is to bring,3,1,2
as,1,839,3520
at,1,347,1570
before thee in,3,1,8
that shall ye,3,1,3
with an everlasting,3,2,2
the commandment is,3,1,2
of bread,2,4,34
yet but,2,4,4
be,1,1998,7013
greatest of,2,5,5
lord of which,3,1,1
hands saith,2,2,1
time i,2,2,9
manifest myself to,3,1,1
the wilderness in the,4,2,4
i will try,3,1,1
spirit ye,2,2,2
preach the gospel to,4,4,3
by,1,760,2625
be sufficient,2,2,1
thou give,2,1,14
at the head of,4,2,3
servant said unto,3,1,3
a pure heart,3,1,4
old thou shalt,3,1,1
unto the church,3,32,6
if he do not,4,1,3
to be the,3,11,15
and break down,3,1,3
mouths of,2,6,3
put to death in,4,1,2
of the revelations,3,5,1
high priest over the,4,1,1
to the children of,4,4,33
all these are,3,2,6
he shall reward every,4,1,1
the glory of god the,5,1,1
language,1,9,27
sent away,2,1,10
and holy is he,4,1,1
do,1,238,1368
shall not be confounded,4,4,1
of whom the,3,1,14
snare,1,3,46
take that which,3,2,1
the people of the,4,4,85
and my servant shall be,5,1,2
god let him,3,1,3
they follow,2,2,2
all this,2,13,82
rebuked for,2,2,1
foot,1,2,95
repentance and,2,14,3
to instruct,2,1,1
man according as his,4,3,1
seven churches and,3,1,1
govern the,2,1,2
the lord be,3,1,41
spirit of the lord is,5,1,2
feared not god,3,1,2
under their feet and,4,1,1
the children and the,4,3,4
